"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jun-2023","EQ","412.05","421.90","412.05","406.35","420.30","420.75","417.07","504.00","308.95","11,695,310","4,877,809,960.25","97,308"
"01-Jun-2023","EQ","409.05","414.40","405.90","405.90","406.75","406.35","408.99","504.00","308.95","4,269,628","1,746,232,236.15","47,238"
"31-May-2023","EQ","410.50","410.70","404.35","413.10","407.50","405.90","406.53","504.00","308.95","22,945,527","9,328,094,378.75","123,809"
"30-May-2023","EQ","421.50","421.50","411.60","419.90","413.65","413.10","414.49","504.00","308.95","5,596,603","2,319,716,532.05","61,382"
"29-May-2023","EQ","417.00","425.00","415.50","413.55","419.70","419.90","421.53","504.00","308.95","8,350,721","3,520,113,002.60","88,755"
"26-May-2023","EQ","405.10","415.30","403.10","404.25","413.05","413.55","411.73","504.00","308.95","6,401,768","2,635,831,537.85","66,466"
"25-May-2023","EQ","404.50","405.75","397.80","406.90","403.80","404.25","402.02","504.00","308.95","8,018,242","3,223,527,091.55","89,409"
"24-May-2023","EQ","408.90","410.50","403.60","410.30","406.95","406.90","406.76","504.00","308.95","7,866,105","3,199,590,706.75","79,246"
"23-May-2023","EQ","409.20","413.80","406.90","407.70","409.95","410.30","411.06","504.00","308.95","3,690,618","1,517,077,228.60","59,567"
"22-May-2023","EQ","406.00","409.00","402.70","406.75","409.00","407.70","405.60","504.00","308.95","4,237,198","1,718,595,781.75","53,803"
"19-May-2023","EQ","408.00","408.40","400.40","406.50","407.75","406.75","404.35","504.00","308.95","5,523,299","2,233,343,357.80","67,823"
"18-May-2023","EQ","411.00","413.40","405.65","407.70","407.90","406.50","409.43","504.00","308.95","4,078,918","1,670,046,145.95","55,184"
"17-May-2023","EQ","411.80","413.40","405.55","412.45","408.00","407.70","408.53","504.00","308.95","3,727,878","1,522,955,911.00","53,533"
"16-May-2023","EQ","413.60","417.70","411.00","410.70","412.80","412.45","413.85","504.00","308.95","4,010,692","1,659,840,199.15","50,722"
"15-May-2023","EQ","408.50","412.85","404.35","404.75","410.80","410.70","409.34","504.00","308.95","5,148,782","2,107,596,874.20","67,218"
"12-May-2023","EQ","419.00","419.00","403.80","420.85","405.80","404.75","407.78","504.00","308.95","11,152,831","4,547,850,440.90","182,872"
"11-May-2023","EQ","434.00","434.00","419.55","436.45","421.20","420.85","422.11","504.00","308.95","11,081,500","4,677,557,040.85","183,327"
"10-May-2023","EQ","441.00","442.85","433.65","440.35","438.05","436.45","437.92","504.00","308.95","3,075,599","1,346,854,339.85","35,645"
"09-May-2023","EQ","444.55","446.70","439.20","445.05","440.90","440.35","442.66","504.00","308.95","2,941,913","1,302,276,932.45","40,484"
"08-May-2023","EQ","438.25","446.90","436.20","434.25","445.55","445.05","443.10","504.00","308.95","4,090,222","1,812,382,981.90","49,994"
"05-May-2023","EQ","443.00","443.50","432.65","445.50","435.00","434.25","438.78","504.00","308.95","3,034,975","1,331,687,415.15","49,867"
"04-May-2023","EQ","445.00","446.45","440.50","442.30","444.80","445.50","444.73","504.00","308.95","3,100,187","1,378,756,605.65","48,003"
"03-May-2023","EQ","441.00","443.90","434.25","446.15","441.50","442.30","439.27","504.00","308.95","4,826,725","2,120,240,166.60","62,551"
"02-May-2023","EQ","439.00","449.90","438.00","436.10","446.00","446.15","445.63","504.00","308.95","5,178,547","2,307,714,060.20","78,416"
"28-Apr-2023","EQ","433.50","437.00","430.90","430.80","435.50","436.10","434.05","508.50","308.95","4,913,550","2,132,723,158.45","47,290"
"27-Apr-2023","EQ","425.00","431.45","422.05","424.80","430.75","430.80","428.63","508.50","308.95","3,271,257","1,402,171,064.40","44,758"
"26-Apr-2023","EQ","425.60","427.00","422.10","429.80","424.95","424.80","424.20","508.50","308.95","5,184,973","2,199,462,210.35","50,682"
"25-Apr-2023","EQ","425.00","431.70","425.00","427.80","429.25","429.80","429.40","508.50","308.95","3,648,159","1,566,503,478.90","53,706"
"24-Apr-2023","EQ","419.00","428.95","418.35","422.35","428.00","427.80","424.66","508.50","308.95","2,308,450","980,299,254.05","41,053"
"21-Apr-2023","EQ","430.00","430.85","419.00","429.85","422.60","422.35","422.28","556.20","308.95","5,139,533","2,170,297,232.10","83,610"
"20-Apr-2023","EQ","431.90","435.70","428.05","433.05","428.60","429.85","432.78","556.20","308.95","3,830,118","1,657,589,290.85","44,562"
"19-Apr-2023","EQ","434.40","437.35","431.30","431.55","432.70","433.05","434.12","556.20","308.95","5,982,454","2,597,075,444.50","60,854"
"18-Apr-2023","EQ","430.00","433.00","427.90","428.70","430.70","431.55","430.90","556.20","308.95","4,866,068","2,096,782,265.35","43,769"
"17-Apr-2023","EQ","422.35","429.15","421.60","422.05","428.50","428.70","425.95","556.20","308.95","6,920,340","2,947,713,653.60","93,653"
"13-Apr-2023","EQ","418.05","422.75","415.35","417.65","422.20","422.05","419.64","587.45","308.95","6,368,113","2,672,345,040.60","68,376"
"12-Apr-2023","EQ","419.90","422.40","415.60","417.55","417.50","417.65","418.55","587.45","308.95","4,701,591","1,967,870,070.25","65,869"
"11-Apr-2023","EQ","412.90","418.05","411.15","411.45","417.50","417.55","415.57","587.45","308.95","4,965,642","2,063,563,026.45","57,305"
"10-Apr-2023","EQ","406.80","413.85","405.50","405.25","410.70","411.45","410.57","587.45","308.95","5,327,008","2,187,086,396.75","62,407"
"06-Apr-2023","EQ","401.00","406.50","398.75","403.30","404.50","405.25","403.70","590.95","308.95","4,174,551","1,685,256,167.20","47,117"
"05-Apr-2023","EQ","402.00","404.60","394.30","402.55","402.65","403.30","400.72","590.95","308.95","5,607,641","2,247,075,773.75","68,547"
"03-Apr-2023","EQ","406.50","406.90","399.55","405.35","402.25","402.55","402.06","590.95","308.95","5,200,766","2,091,036,628.30","83,017"
"31-Mar-2023","EQ","404.05","410.30","401.10","399.05","403.20","405.35","405.82","636.00","308.95","7,468,634","3,030,956,684.95","153,206"
"29-Mar-2023","EQ","394.90","400.90","389.90","392.90","399.00","399.05","394.16","636.00","308.95","6,959,623","2,743,227,938.90","83,017"
"28-Mar-2023","EQ","393.00","399.80","391.75","389.95","392.95","392.90","395.18","636.00","308.95","6,424,209","2,538,740,694.60","70,293"
"27-Mar-2023","EQ","390.00","396.60","389.40","388.40","389.55","389.95","392.80","636.00","308.95","7,066,058","2,775,521,149.05","86,069"
"24-Mar-2023","EQ","400.80","401.00","386.15","398.80","388.00","388.40","391.44","636.00","308.95","8,833,099","3,457,584,852.85","86,717"
"23-Mar-2023","EQ","387.00","400.65","386.00","392.75","398.60","398.80","397.07","636.00","308.95","10,453,779","4,150,859,824.00","92,029"
"22-Mar-2023","EQ","390.10","396.75","388.25","388.55","392.25","392.75","393.07","636.00","308.95","6,511,605","2,559,489,239.75","98,949"
"21-Mar-2023","EQ","387.70","390.60","384.95","385.75","388.30","388.55","387.32","636.00","308.95","6,080,002","2,354,922,361.20","91,870"
"20-Mar-2023","EQ","393.75","394.05","381.00","396.70","386.25","385.75","385.42","636.00","308.95","6,331,283","2,440,194,585.30","87,755"
"17-Mar-2023","EQ","389.25","398.05","386.55","384.95","396.25","396.70","392.94","636.00","308.95","9,861,244","3,874,909,589.55","93,479"
"16-Mar-2023","EQ","400.60","400.85","383.10","406.15","385.50","384.95","387.07","636.00","308.95","16,739,755","6,479,511,813.40","203,714"
"15-Mar-2023","EQ","407.95","412.75","405.00","402.70","405.15","406.15","408.71","636.00","308.95","5,681,268","2,321,985,314.50","62,659"
"14-Mar-2023","EQ","404.30","407.95","399.45","402.25","403.60","402.70","403.30","636.00","308.95","5,841,181","2,355,743,987.00","81,736"
"13-Mar-2023","EQ","409.00","414.95","398.50","405.65","403.80","402.25","406.22","636.00","308.95","5,962,595","2,422,120,999.25","76,984"
"10-Mar-2023","EQ","403.00","409.50","395.40","408.85","406.20","405.65","404.89","636.00","308.95","5,239,128","2,121,251,166.90","69,010"
"09-Mar-2023","EQ","411.00","418.50","408.00","407.75","408.85","408.85","412.73","636.00","308.95","6,982,179","2,881,786,557.70","86,825"
"08-Mar-2023","EQ","409.95","409.95","396.10","414.50","408.75","407.75","405.54","636.00","308.95","7,044,653","2,856,882,943.30","88,360"
"06-Mar-2023","EQ","419.00","422.20","413.90","416.90","414.50","414.50","417.25","636.00","308.95","5,071,598","2,116,126,107.25","74,017"
"03-Mar-2023","EQ","413.20","419.35","412.20","410.80","418.50","416.90","416.11","636.00","308.95","5,102,333","2,123,134,572.90","60,197"
"02-Mar-2023","EQ","415.00","416.80","408.00","413.05","410.45","410.80","411.39","636.00","308.95","4,804,013","1,976,312,258.20","74,037"
"01-Mar-2023","EQ","402.00","414.90","401.65","399.20","413.90","413.05","410.99","636.00","308.95","7,935,816","3,261,514,824.80","130,191"
"28-Feb-2023","EQ","413.50","413.90","398.00","411.80","399.45","399.20","401.71","636.00","308.95","12,174,759","4,890,761,949.15","127,358"
"27-Feb-2023","EQ","415.00","415.00","401.50","415.25","412.00","411.80","407.33","636.00","308.95","8,301,373","3,381,405,567.25","114,227"
"24-Feb-2023","EQ","438.00","438.00","414.25","436.45","415.85","415.25","419.46","636.00","308.95","10,814,032","4,536,059,569.75","131,427"
"23-Feb-2023","EQ","430.40","438.50","430.10","429.70","437.40","436.45","434.50","636.00","308.95","5,037,774","2,188,911,276.05","74,437"
"22-Feb-2023","EQ","430.50","434.50","426.75","431.50","429.50","429.70","431.17","636.00","308.95","5,276,939","2,275,233,470.35","64,063"
"21-Feb-2023","EQ","437.75","438.30","430.00","434.25","432.00","431.50","434.27","636.00","308.95","3,761,409","1,633,455,866.05","69,596"
"20-Feb-2023","EQ","429.90","435.55","429.00","429.50","433.50","434.25","432.79","636.00","308.95","3,749,802","1,622,875,751.20","54,690"
"17-Feb-2023","EQ","434.75","438.00","426.60","434.70","430.00","429.50","431.99","636.00","308.95","4,014,137","1,734,081,409.15","55,028"
"16-Feb-2023","EQ","436.90","438.00","433.00","433.95","434.75","434.70","435.18","636.00","308.95","4,282,249","1,863,546,751.00","68,119"
"15-Feb-2023","EQ","435.50","437.25","430.60","434.80","433.80","433.95","433.97","636.00","308.95","3,623,450","1,572,460,444.25","59,269"
"14-Feb-2023","EQ","429.50","435.25","425.35","427.70","435.00","434.80","431.32","636.00","308.95","3,951,666","1,704,438,993.55","64,140"
"13-Feb-2023","EQ","434.50","439.80","426.55","433.15","427.70","427.70","431.92","636.00","308.95","6,437,475","2,780,484,516.05","78,611"
"10-Feb-2023","EQ","444.55","444.95","431.00","444.55","433.80","433.15","434.81","636.00","308.95","6,648,361","2,890,744,622.55","83,928"
"09-Feb-2023","EQ","437.00","447.70","431.75","436.50","446.10","444.55","439.73","636.00","308.95","11,431,814","5,026,885,774.05","125,967"
"08-Feb-2023","EQ","432.00","439.80","432.00","429.55","435.50","436.50","436.03","636.00","308.95","6,121,515","2,669,182,674.20","92,093"
"07-Feb-2023","EQ","440.00","441.90","425.50","447.35","429.35","429.55","431.38","636.00","308.95","16,652,967","7,183,789,348.15","244,636"
"06-Feb-2023","EQ","457.00","457.00","446.00","459.65","446.75","447.35","450.27","636.00","308.95","4,398,369","1,980,462,766.10","64,940"
"03-Feb-2023","EQ","467.75","468.95","450.20","465.40","458.50","459.65","457.56","636.00","308.95","5,707,642","2,611,599,177.40","82,161"
"02-Feb-2023","EQ","467.00","471.00","460.80","467.85","466.00","465.40","465.96","636.00","308.95","3,356,544","1,564,025,591.65","70,308"
"01-Feb-2023","EQ","473.00","480.60","454.60","468.40","467.60","467.85","472.15","636.00","308.95","6,075,062","2,868,331,086.75","93,318"
"31-Jan-2023","EQ","474.95","476.35","465.50","472.35","469.00","468.40","470.78","636.00","308.95","5,679,604","2,673,862,417.80","91,024"
"30-Jan-2023","EQ","479.00","483.35","463.95","479.00","471.70","472.35","470.94","636.00","308.95","5,804,476","2,733,546,595.70","86,991"
"27-Jan-2023","EQ","493.50","494.80","467.95","489.10","479.00","479.00","480.67","636.00","308.95","4,591,590","2,207,027,519.60","75,669"
"25-Jan-2023","EQ","484.10","495.80","484.10","484.65","489.00","489.10","489.52","636.00","308.95","7,341,066","3,593,602,539.70","111,236"
"24-Jan-2023","EQ","496.70","497.90","483.55","494.20","484.05","484.65","488.84","636.00","308.95","3,293,586","1,610,027,555.95","70,599"
"23-Jan-2023","EQ","494.00","500.35","491.20","489.95","493.45","494.20","496.15","636.00","308.95","5,559,031","2,758,124,719.80","74,009"
"20-Jan-2023","EQ","498.00","501.55","488.25","498.90","490.50","489.95","494.83","636.00","308.95","5,664,588","2,803,002,342.95","66,777"
"19-Jan-2023","EQ","493.15","503.00","491.00","502.95","498.80","498.90","498.10","636.00","308.95","7,945,795","3,957,809,999.00","107,718"
"18-Jan-2023","EQ","488.50","504.00","488.50","487.90","502.20","502.95","498.46","636.00","308.95","12,045,667","6,004,244,923.65","152,628"
"17-Jan-2023","EQ","481.75","489.30","476.95","483.05","487.30","487.90","483.61","636.00","308.95","7,819,426","3,781,551,071.80","92,103"
"16-Jan-2023","EQ","490.95","492.70","481.25","488.50","483.00","483.05","484.64","636.00","308.95","3,294,109","1,596,450,369.30","55,779"
"13-Jan-2023","EQ","487.65","490.00","482.65","485.65","487.45","488.50","487.04","636.00","308.95","7,445,162","3,626,080,066.40","80,425"
"12-Jan-2023","EQ","495.00","495.60","482.20","490.95","485.50","485.65","485.98","636.00","308.95","7,278,634","3,537,278,671.00","79,902"
"11-Jan-2023","EQ","481.90","493.45","481.00","477.55","490.80","490.95","488.17","636.00","308.95","11,383,752","5,557,262,802.40","125,754"
"10-Jan-2023","EQ","478.00","480.50","473.30","470.75","477.25","477.55","476.71","636.00","308.95","7,092,319","3,380,997,195.50","88,442"
"09-Jan-2023","EQ","471.00","474.00","466.20","462.65","470.00","470.75","470.83","636.00","308.95","6,047,398","2,847,317,393.65","103,836"
"06-Jan-2023","EQ","467.00","474.00","461.10","465.70","463.95","462.65","467.41","636.00","308.95","6,004,013","2,806,351,920.80","75,800"
"05-Jan-2023","EQ","463.25","467.45","458.65","461.50","465.20","465.70","463.31","636.00","308.95","7,087,634","3,283,767,407.30","86,673"
"04-Jan-2023","EQ","477.00","477.45","460.00","479.90","460.45","461.50","465.13","636.00","308.95","9,899,885","4,604,696,461.95","118,644"
"03-Jan-2023","EQ","486.50","488.45","478.50","487.05","478.75","479.90","483.36","636.00","308.95","5,906,501","2,854,947,436.90","73,113"
"02-Jan-2023","EQ","475.95","491.00","475.15","473.35","486.50","487.05","485.89","636.00","308.95","11,255,811","5,469,070,952.55","157,286"
"30-Dec-2022","EQ","473.95","482.30","471.80","469.90","473.75","473.35","477.08","636.00","308.95","8,024,424","3,828,287,441.65","82,377"
"29-Dec-2022","EQ","459.30","472.20","455.25","465.95","471.70","469.90","462.79","636.00","308.95","8,427,104","3,899,951,556.35","90,928"
"28-Dec-2022","EQ","467.65","473.70","463.95","471.00","466.20","465.95","468.45","636.00","308.95","7,519,133","3,522,314,968.35","94,157"
"27-Dec-2022","EQ","447.95","472.40","446.75","442.95","470.00","471.00","462.97","636.00","308.95","13,898,138","6,434,442,120.40","161,148"
"26-Dec-2022","EQ","431.00","445.40","429.10","429.55","442.40","442.95","440.19","636.00","308.95","3,939,359","1,734,082,792.05","46,917"
"23-Dec-2022","EQ","452.90","452.90","427.60","455.50","432.00","429.55","437.71","636.00","308.95","7,766,201","3,399,325,193.50","87,706"
"22-Dec-2022","EQ","459.45","463.00","447.20","457.15","456.05","455.50","453.60","636.00","308.95","4,435,416","2,011,892,540.65","52,329"
"21-Dec-2022","EQ","459.30","463.90","451.90","457.05","455.40","457.15","458.26","636.00","308.95","5,557,133","2,546,613,716.65","64,881"
"20-Dec-2022","EQ","458.00","459.25","444.25","460.15","457.75","457.05","450.32","636.00","308.95","7,580,480","3,413,640,107.55","96,950"
"19-Dec-2022","EQ","459.00","463.00","455.05","456.75","459.55","460.15","459.01","636.00","308.95","3,690,005","1,693,734,333.10","64,533"
"16-Dec-2022","EQ","458.00","462.75","452.55","461.00","456.00","456.75","457.59","636.00","308.95","6,460,140","2,956,098,014.70","57,067"
